"date","change","rationale","affected_stages","decision_maker","approval_status","approval_reference","classification"
"2026-08-07","Proposed excluding impact-triggered harmful-algal event registries as bloom-state truth","Reporting is triggered by demonstrable economic impact rather than by observation so absence of an entry cannot define a negative window; only two North Sea Phaeocystis entries exist in HAEDAT","1|2|6","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Proposed excluding global syntheses assembled from aggregators already held","PhytoBase and MAREDAT are compiled from OBIS and GBIF and CPR and monitoring programmes already in the register so inclusion would inflate the dataset count with duplicates of held sources","1|2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Specified the Stage 1 known-item recall benchmark set as DS02 DS04 DS05 DS06 DS07 DS08 DS10 DS16 with the OSPAR COMP4 input list as an external cross-check","A named benchmark set fixed before execution prevents the recall test from being weakened after a search under-returns","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-08","Added Stage 1 actions 13 and 14: resolve every narrative register entry against the executed search into a ranked acquisition shortlist, and open all contact-only access requests in parallel with dated fallbacks","A count of one dataset advanced to acquisition against 8060 undifferentiated pending rows gives Stage 2 no ordered work; and access latency rather than computation is the binding constraint, with DS08 alone gating the lifeform stratification named in the paper title","1|2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Moved dataset-metadata screening and catalogue-identity rules from R code into the separately versioned config/screening_rules.json","The checksum of config/stage1_search_config.json is embedded in every archived run summary, so correcting a screening rule in that file would invalidate all ten pinned searches and force a re-run","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Removed the DOI requirement from the PLET catalogue parser and added PLET to the scope-guaranteed sources","The DOI filter silently discarded seven archived catalogue datasets marked No DOI including DS17 OSPAR_LLUR-SH_2010-2020, biasing discovery against the restricted holdings that exist to fill coverage gaps; and PLET dataset names are provider codes rather than descriptions so a keyword screen on the name has no discriminative validity","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Extended the known-item recall benchmark set from nine to sixteen datasets adding DS03 DS09 DS12 DS17 DS18 DS23 and DS26","The original set contained only datasets the search modules were built around and so could not detect a systematic discovery failure; the extended set immediately exposed one parser defect and one screening defect","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Ordered Stage 2 acquisition by the Stage 1 ranked shortlist rather than by registry order","Acquiring in rank order front-loads the datasets that can change the Stage 4 feasibility verdict instead of spending the project on catalogue bulk","2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Added Stage 4 actions 8 and 9: apply the dated access fallbacks and declare the Tier A base explicitly before PhyC is inspected","A scope reduction declared before its deadline is a design decision while the same reduction taken afterwards is indistinguishable from a post-hoc exclusion","4","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Carry the lower central and upper carbon-conversion estimates as three parallel reference series through outcome construction to the Stage 10 metrics","The Tier A base is too narrow to carry the primary analysis so the confirmatory result is expected to rest on Tier C conversion, where conversion uncertainty may dominate apparent model error; whether the PhyC increment survives it is a prespecified result rather than a late caveat","5|6|10","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Registered a percentile-range sensitivity and a seasonal phenology check for the bloom threshold","A fixed 90th-percentile rule fixes bloom prevalence at roughly one window in ten by construction, so the rarity that motivates emphasising PR-AUC is a property of the threshold rather than an observation","6","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Registered a positive control matching CMEMS chlorophyll to in-situ chlorophyll and a negative control using date-permuted PhyC","Every other safeguard suppresses false optimism and none establishes that the pipeline can detect a signal at all; without controls a null result cannot be distinguished from a broken matchup","9|10","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Froze the access and licence policy in config/access_and_licence_policy.json: a dataset obtainable only by contacting a provider is unavailable at the current stage and its declared consequence applies immediately, with no response deadlines","Access latency is unbounded and unmanaged, so waiting makes the analysable scope a function of correspondence timing; declaring unavailability now makes the scope a design decision recorded in the open before results exist. Requests are still sent and a reply re-admits the dataset as a dated addition.","1|2|3|4","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Adopted the tiered licence rule: open licences are used normally, openly reachable records with no stated licence are usable for exploratory Stage 2 to Stage 4 work but never redistributed and must have licence resolved before the Stage 7 manifest freeze, and contact-required records are not used","Screening a dataset out for a missing licence statement before knowing whether the study needs it discards usable evidence and wastes effort; authorization is sought once a dataset is shown to be necessary","2|5|7","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Reclassified DS08 Helgoland Roads from a Tier A carbon reference to a Tier C abundance sentinel","Archived PANGAEA evidence shows all 28 carbon and all 24 biovolume children state an unknown licence requiring author contact while only the abundance children are CC-BY; under the frozen access policy the carbon and biovolume children are unavailable, so no source now supplies lifeform dominance as a directly measured carbon share and it must be derived through DS22 PEG_BVOL with propagated conversion uncertainty","1|2|4","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Recorded DS17 DS18 DS19 DS20 and DS21 as unavailable at the current stage in metadata/stage1/qualification/unavailable_candidates.csv","Each resolves only to contact-required records or to no retained record at all; recording them now prevents an access-driven scope limit from being mistaken later for an ecological or performance-driven exclusion","1|2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Recorded the Stage 1 scientific review as a self-review by Dr. Zixia Liu with independent second review deferred until preliminary results exist, and left the superseded placeholder in the frozen search configuration unchanged","The frozen configuration checksum is embedded in all ten archived run summaries so editing it would invalidate every executed search; and the designer and reviewer being the same party means Stage 1 action 2 is not satisfied and must not be reported as if it were","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
"2026-08-08","Retained the basin-wide North Sea framing rather than narrowing the paper to coastal and transition waters, and made the offshore arm a required rather than optional component pursued through every open route","Maximising in-situ inclusion is preferred to pre-emptive narrowing; DS12 CPR is reachable through its open OBIS route so offshore coverage exists at Tier D or E, and any subregion that still lacks reference data is declared at Stage 4 as an observation-adequacy limit before PhyC is inspected","3|4|10|12","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08","prospective amendment"
